#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPA190	RPB4	634880	632192	4932.YOR341W	4932.YJL140W	0	0	0	0	0	0.916	0	0.437	0.950
HIS5	ARG4	631934	631560	4932.YIL116W	4932.YHR018C	0.043	0	0	0	0.837	0	0	0.704	0.950
RPA135	RPB11	635246	634339	4932.YPR010C	4932.YOL005C	0.043	0	0	0	0.083	0.878	0.263	0.441	0.947
RPO31	RPB4	634639	632192	4932.YOR116C	4932.YJL140W	0	0	0	0	0	0.916	0	0.374	0.945
RPC40	RPB9	635350	630960	4932.YPR110C	4932.YGL070C	0	0	0	0	0.100	0.853	0	0.621	0.945
RPA190	RPC25	634880	632605	4932.YOR341W	4932.YKL144C	0	0	0	0	0.120	0.878	0	0.505	0.942
TFB1	RPO21	630159	629709	4932.YDR311W	4932.YDL140C	0	0	0	0	0	0.126	0.900	0.349	0.938
RPC25	RPB9	632605	630960	4932.YKL144C	4932.YGL070C	0	0	0	0	0.054	0.853	0	0.595	0.938
RPA135	RPB4	635246	632192	4932.YPR010C	4932.YJL140W	0	0	0	0	0	0.917	0	0.290	0.938
RPB3	TFB3	631829	630322	4932.YIL021W	4932.YDR460W	0	0	0	0	0.047	0	0.900	0.400	0.937
RPA12	RPB7	632346	630265	4932.YJR063W	4932.YDR404C	0	0	0	0	0.075	0.853	0	0.567	0.936
RPO31	RPB7	634639	630265	4932.YOR116C	4932.YDR404C	0	0	0	0	0	0.878	0	0.460	0.931
RPA190	RPB7	634880	630265	4932.YOR341W	4932.YDR404C	0	0	0	0	0.047	0.878	0	0.449	0.930
TFB1	RPB5	630159	629214	4932.YDR311W	4932.YBR154C	0	0	0	0	0.052	0	0.900	0.317	0.929
RPA135	RPC25	635246	632605	4932.YPR010C	4932.YKL144C	0	0	0	0	0.139	0.878	0	0.383	0.929
ARO1	HIS4	629961	629406	4932.YDR127W	4932.YCL030C	0.560	0	0	0	0.245	0.676	0	0.414	0.928
RPB7	TFB1	630265	630159	4932.YDR404C	4932.YDR311W	0	0	0	0	0	0	0.900	0.315	0.928
ARG1	HIS4	634397	629406	4932.YOL058W	4932.YCL030C	0.069	0	0	0	0.804	0	0	0.630	0.926
ARG4	HIS1	631560	630572	4932.YHR018C	4932.YER055C	0.049	0	0	0	0.256	0	0	0.902	0.925
RPB4	TFB1	632192	630159	4932.YJL140W	4932.YDR311W	0	0	0	0	0	0	0.900	0.276	0.924
ARO8	ARO1	631095	629961	4932.YGL202W	4932.YDR127W	0.051	0	0	0	0.523	0	0.598	0.632	0.924
RPB2	RPA12	634676	632346	4932.YOR151C	4932.YJR063W	0	0	0	0	0	0.782	0	0.663	0.923
HIS5	HIS1	631934	630572	4932.YIL116W	4932.YER055C	0.321	0	0.491	0	0.540	0	0	0.566	0.921
ACC1	ARO1	634270	629961	4932.YNR016C	4932.YDR127W	0.560	0	0	0	0.135	0.145	0.636	0.394	0.915
ARG4	HIS7	631560	629319	4932.YHR018C	4932.YBR248C	0.061	0	0	0	0.649	0	0	0.761	0.914
ACC1	EHD3	634270	629865	4932.YNR016C	4932.YDR036C	0.554	0	0	0	0.150	0	0.659	0.402	0.912
RPB8	TFB1	634756	630159	4932.YOR224C	4932.YDR311W	0	0	0	0	0	0	0.900	0.158	0.912
MET16	MET8	635418	629280	4932.YPR167C	4932.YBR213W	0.321	0	0	0	0.121	0	0	0.865	0.912
RPA135	RPB7	635246	630265	4932.YPR010C	4932.YDR404C	0	0	0	0	0.079	0.878	0	0.276	0.911
RPB4	TFB3	632192	630322	4932.YJL140W	4932.YDR460W	0	0	0	0	0.065	0	0.900	0.130	0.911
TFB2	RET1	635065	634739	4932.YPL122C	4932.YOR207C	0	0	0	0	0.137	0	0.900	0	0.910
GLN1	PRO2	635273	634860	4932.YPR035W	4932.YOR323C	0.062	0	0	0	0	0	0.800	0.555	0.909
TFB2	RPC25	635065	632605	4932.YPL122C	4932.YKL144C	0	0	0	0	0	0.909	0	0	0.909
TFB3	RPB7	630322	630265	4932.YDR460W	4932.YDR404C	0	0	0	0	0.064	0	0.900	0.095	0.907
RPB9	TFB1	630960	630159	4932.YGL070C	4932.YDR311W	0	0	0	0	0.067	0.088	0.900	0.042	0.907
RPB9	TFB3	630960	630322	4932.YGL070C	4932.YDR460W	0	0	0	0	0.067	0	0.900	0.077	0.906
TFB3	RPB5	630322	629214	4932.YDR460W	4932.YBR154C	0	0	0	0	0.042	0	0.900	0.105	0.906
RET1	TFB1	634739	630159	4932.YOR207C	4932.YDR311W	0	0	0	0	0.097	0	0.900	0	0.905
ARO8	ARO2	631095	631039	4932.YGL202W	4932.YGL148W	0	0	0	0	0.166	0	0.800	0.475	0.905
RPB11	TFB3	634339	630322	4932.YOL005C	4932.YDR460W	0	0	0	0	0.042	0	0.900	0.077	0.903
RPB10	TFB1	634742	630159	4932.YOR210W	4932.YDR311W	0	0	0	0	0	0	0.900	0.067	0.902
RPB8	TFB3	634756	630322	4932.YOR224C	4932.YDR460W	0	0	0	0	0	0	0.900	0.053	0.901
ACC1	GLT1	634270	629743	4932.YNR016C	4932.YDL171C	0.154	0	0	0	0.820	0	0	0.401	0.901
RPO26	TFB3	635441	630322	4932.YPR187W	4932.YDR460W	0	0	0	0	0	0	0.900	0.052	0.901
RET1	RPA12	634739	632346	4932.YOR207C	4932.YJR063W	0	0	0	0	0.120	0.782	0	0.529	0.901
RPO26	TFB1	635441	630159	4932.YPR187W	4932.YDR311W	0	0	0	0	0	0	0.900	0.054	0.901
RPB11	TFB1	634339	630159	4932.YOL005C	4932.YDR311W	0	0	0	0	0	0	0.900	0.046	0.900
RPB10	TFB3	634742	630322	4932.YOR210W	4932.YDR460W	0	0	0	0	0	0	0.900	0	0.900
RET1	TFB3	634739	630322	4932.YOR207C	4932.YDR460W	0	0	0	0	0	0	0.900	0	0.900
